Date,Price,Open,High,Low,Vol.,Change %,50_days_MA,200_days_MA,365_days_MA,500_days_MA
2019-07-10,117.5,120.25,120.55,116.35,35.47M,-1.80%,157.444,129.8105,159.5335616438356,200.87820000000002
2019-04-10,119.65,122.8,123.8,118.8,35.71M,-2.25%,156.34099999999998,129.90025000000003,159.0191780821918,200.35160000000002
2019-03-10,122.4,112.65,123.5,112.65,65.10M,6.16%,155.185,129.9935,158.52424657534246,199.84340000000003
2019-01-10,115.3,118.0,119.85,113.0,40.23M,-1.83%,153.99200000000002,130.03975,157.993698630137,199.40189999999998
2019-09-30,117.45,120.65,120.85,116.4,32.16M,-2.04%,152.80700000000002,130.10125,157.47438356164383,198.94690000000003
2019-09-27,119.9,122.0,122.45,118.2,45.88M,-3.69%,151.738,130.1585,156.96506849315068,198.5027
2019-09-26,124.5,123.9,127.25,122.8,45.87M,1.18%,150.992,130.25575,156.4295890410959,198.0851
2019-09-25,123.05,129.9,129.9,121.5,47.57M,-6.00%,150.259,130.339,155.89397260273972,197.6645
2019-09-24,130.9,128.05,132.2,128.0,41.66M,2.35%,149.667,130.47875,155.38260273972602,197.26579999999998
2019-09-23,127.9,135.0,138.4,126.5,51.03M,-4.02%,148.995,130.60225,154.85232876712328,196.863
2019-09-20,133.25,125.0,137.75,122.6,89.22M,7.29%,148.33800000000002,130.74275,154.35383561643837,196.46620000000001
2019-09-19,124.2,123.5,125.35,121.2,51.01M,2.01%,147.434,130.82375,153.81397260273974,196.0787
2019-09-18,121.75,123.05,125.9,120.5,53.05M,-0.20%,146.705,130.8945,153.25671232876712,195.6792
2019-09-17,122.0,129.0,130.5,121.35,47.65M,-5.13%,145.924,130.96975,152.66164383561645,195.303
2019-09-16,128.6,128.0,130.3,126.5,40.95M,-0.73%,145.266,131.08599999999998,152.05917808219178,194.9563
2019-09-13,129.55,129.2,130.95,125.5,69.09M,1.25%,144.56099999999998,131.1885,151.4668493150685,194.6175
2019-12-09,127.95,134.6,135.35,126.7,72.08M,-4.76%,143.80200000000002,131.28324999999998,150.91794520547947,194.25619999999998
2019-11-09,134.35,127.0,135.0,125.3,96.57M,10.21%,143.221,131.43775,150.40123287671233,193.9016
2019-09-09,121.9,119.0,122.6,117.35,51.30M,0.54%,142.33700000000002,131.53949999999998,149.82246575342467,193.5215
2019-06-09,121.25,118.35,122.3,116.55,67.76M,2.71%,141.515,131.642,149.27342465753426,193.15179999999998
2019-05-09,118.05,109.75,119.35,109.5,75.79M,7.81%,140.593,131.741,148.70917808219178,192.7855
2019-04-09,109.5,112.0,113.0,106.0,76.32M,-2.80%,139.435,131.79125,148.1749315068493,192.4066
2019-03-09,112.65,113.05,115.35,111.2,36.91M,-3.47%,138.333,131.8475,147.62917808219177,192.0414
2019-08-30,116.7,115.6,117.3,112.0,42.25M,2.10%,137.265,131.912,147.06164383561645,191.6856
2019-08-29,114.3,116.5,118.5,112.1,48.10M,-1.76%,136.18,131.9595,146.47027397260274,191.31930000000003
2019-08-28,116.35,120.55,124.0,114.8,74.25M,-3.32%,135.166,132.01925,145.88712328767122,190.96089999999998
2019-08-27,120.35,112.7,121.4,111.8,70.64M,8.86%,134.161,132.10775,145.30356164383562,190.61530000000002
2019-08-26,110.55,114.55,115.4,106.8,47.76M,-0.45%,132.93200000000002,132.148,144.7149315068493,190.24590000000003
2019-08-23,111.05,108.9,111.6,107.65,41.18M,3.11%,131.77200000000002,132.2215,144.12876712328767,189.89339999999999
2019-08-22,107.7,112.0,114.0,106.2,58.61M,-4.18%,130.496,132.283,143.5227397260274,189.52490000000003
2019-08-21,112.4,123.0,123.0,109.5,83.51M,-9.25%,129.254,132.37125,142.94013698630138,189.1782
2019-08-20,123.85,120.0,124.8,119.0,34.81M,2.52%,128.291,132.488,142.3590410958904,188.8573
2019-08-19,120.8,121.2,122.6,120.0,23.19M,-0.45%,127.263,132.5655,141.8245205479452,188.53009999999998
2019-08-16,121.35,119.9,122.45,117.35,35.26M,0.37%,126.189,132.6415,141.26342465753424,188.2132
2019-08-14,120.9,122.7,123.8,118.6,30.14M,-0.86%,125.05300000000001,132.689,140.6878082191781,187.90109999999999
2019-08-13,121.95,123.8,126.3,121.0,35.50M,-0.08%,124.054,132.7415,140.13972602739727,187.57880000000003
2019-09-08,122.05,124.5,126.5,120.7,39.25M,-1.61%,123.046,132.7745,139.70808219178085,187.2362
2019-08-08,124.05,118.0,125.0,116.9,35.88M,5.66%,122.573,132.841,139.32821917808218,186.8889
2019-07-08,117.4,122.6,123.85,116.5,37.29M,-4.16%,122.384,132.9355,138.91890410958905,186.51630000000003
2019-06-08,122.5,123.05,126.55,121.75,34.79M,-1.01%,122.164,133.05425,138.52164383561643,186.1468
2019-05-08,123.75,128.0,128.2,122.3,35.45M,-5.32%,121.986,133.1905,138.0958904109589,185.78230000000002
2019-02-08,130.7,128.5,133.2,127.0,44.02M,0.89%,121.965,133.39625,137.66123287671235,185.45280000000002
2019-01-08,129.55,135.5,136.3,127.55,38.99M,-4.46%,121.819,133.609,137.22,185.1235
2019-07-31,135.6,133.5,136.4,132.5,27.02M,1.61%,121.74099999999999,133.852,136.83835616438355,184.7985
2019-07-30,133.45,138.0,139.7,132.6,35.73M,-2.98%,121.89300000000001,134.0965,136.49534246575342,184.46529999999998
2019-07-29,137.55,146.9,146.9,136.85,38.84M,-6.52%,122.105,134.36875,136.19835616438354,184.141
2019-07-26,147.15,138.1,150.15,138.1,83.91M,1.98%,122.491,134.6905,135.88835616438357,183.839
2019-07-25,144.3,151.3,152.5,143.75,34.36M,-4.60%,122.95100000000001,134.9915,135.61219178082192,183.5202
2019-07-24,151.25,156.35,157.55,150.5,16.29M,-3.17%,123.64,135.3305,135.36191780821918,183.229
2019-07-23,156.2,157.4,159.0,154.8,12.94M,-0.35%,124.346,135.7025,135.13835616438357,182.9535
2019-07-22,156.75,155.45,159.3,155.25,16.00M,1.23%,125.131,136.083,134.96328767123288,182.68120000000002
2019-07-19,154.85,161.45,162.4,153.85,18.95M,-3.67%,125.835,136.43550000000002,134.84465753424655,182.422
2019-07-18,160.75,167.25,167.25,160.0,19.06M,-4.26%,126.60199999999999,136.82025000000002,134.74602739726026,182.1607
2019-07-17,167.9,170.0,172.35,166.3,25.24M,-1.24%,127.654,137.22375,134.67068493150683,181.9102
2019-07-16,170.0,159.8,170.95,159.05,39.03M,5.62%,128.705,137.64275,134.60712328767124,181.6591
2019-07-15,160.95,159.0,162.6,157.85,19.92M,1.04%,129.526,138.017,134.52397260273972,181.3759
2019-12-07,159.3,155.9,162.85,154.0,27.31M,1.59%,130.222,138.40824999999998,134.4494520547945,181.0902
2019-11-07,156.8,153.0,157.7,150.35,24.10M,3.40%,130.89700000000002,138.77974999999998,134.37534246575342,180.78609999999998
2019-10-07,151.65,156.25,156.25,149.1,31.74M,-2.66%,131.312,139.122,134.28630136986303,180.46689999999998
2019-09-07,155.8,154.0,157.15,152.75,16.11M,0.81%,131.87,139.4965,134.21054794520546,180.158
2019-08-07,154.55,159.35,159.5,153.5,15.15M,-3.53%,132.296,139.84974999999997,134.12342465753426,179.848
2019-05-07,160.2,165.15,166.95,159.5,14.37M,-3.03%,133.016,140.18449999999999,134.08027397260273,179.5465
2019-04-07,165.2,162.5,167.75,162.0,19.51M,1.79%,133.885,140.61975,134.06931506849315,179.262
2019-03-07,162.3,163.75,165.0,161.7,13.61M,-0.89%,134.691,141.0465,134.06205479452055,178.974
2019-02-07,163.75,166.8,167.35,161.35,16.90M,-2.53%,135.394,141.489,134.05986301369862,178.68880000000001
2019-01-07,168.0,163.7,169.4,163.2,23.99M,3.35%,136.163,141.958,134.02547945205478,178.3906
2019-06-28,162.55,165.2,166.75,161.35,15.09M,-1.99%,136.855,142.3925,133.97301369863015,178.0819
2019-06-27,165.85,161.85,168.0,161.1,26.61M,2.95%,137.485,142.84225,133.9272602739726,177.7214
2019-06-26,161.1,160.1,162.2,158.75,18.48M,0.41%,138.269,143.2745,133.87849315068493,177.3538
2019-06-25,160.45,158.0,161.0,156.85,13.37M,0.72%,139.053,143.6745,133.83136986301372,176.98620000000003
2019-06-24,159.3,158.7,160.2,156.2,13.19M,0.25%,139.87800000000001,144.08675,133.7778082191781,176.62560000000002
2019-06-21,158.9,155.0,160.75,154.5,23.30M,-0.22%,140.866,144.508,133.72657534246574,176.2603
2019-06-20,159.25,153.45,160.0,152.15,19.25M,2.97%,141.798,144.93975,133.66232876712328,175.8932
2019-06-19,154.65,160.0,163.75,152.5,25.26M,-2.31%,142.55700000000002,145.34175,133.58794520547946,175.52319999999997
2019-06-18,158.3,159.0,161.0,156.75,14.00M,-0.28%,143.437,145.76025,133.51876712328766,175.1705
2019-06-17,158.75,163.75,164.15,158.0,14.38M,-3.32%,144.285,146.216,133.44917808219176,174.8175
2019-06-14,164.2,167.5,167.5,163.5,10.92M,-1.91%,145.162,146.70075,133.39260273972604,174.47009999999997
2019-06-13,167.4,166.9,168.9,164.5,15.14M,-0.98%,146.299,147.21125,133.34821917808222,174.1363
2019-12-06,169.05,170.9,172.2,168.1,12.82M,-1.00%,147.459,147.71675,133.31890410958906,173.7996
2019-11-06,170.75,166.85,171.9,165.65,20.36M,2.74%,148.72,148.21525,133.29260273972602,173.4498
2019-10-06,166.2,170.9,172.05,163.55,20.21M,-1.95%,149.796,148.7055,133.27191780821917,173.0835
